cluster,size,seed,annotation_preliminary,type_info,tree_name,annotation
843,2,WP_128929477.1,I-CD,,I-CD.182,I-CD2
844,6,WP_025372163.1,I-CD,,I-CD.35,I-CD2
845,2,PZS24549.1,I-E,,I-E.38,I-CD2
846,2,WP_024537032.1,I-CD,,I-CD.45,I-CD2
847,1,HGH04982.1,I-G,,I-G.11,I-CD2
848,5,WP_145736660.1,I-E,,I-E.4,I-CD2
849,11,TARA_109.SAMEA2622362.380.0.22-3_2637154_4,I-A,,I-A.106,I-A
850,45,AAC02927.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 40, Unknown: 5",I-Eukaryotes/Unknown.171,I-CD2
851,11,BAC16244.1,Ambiguous,"I-Eukaryotes: 5, I-CD: 4, Unknown: 2",Ambiguous.25,I-CD2
852,2,CAT99557.1,Unknown,,Unknown.639,I-CD1
853,8,TVQ42343.1,I-B,,I-B.9,I-B
854,65,BAC76042.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 62, Unknown: 3",I-Eukaryotes/Unknown.94,I-CD2
855,2,AAQ24810.1,Unknown,,Unknown.612,I-CD1
856,1,PCI38434.1,Unknown,,Unknown.799,II
857,2,TARA_076.SAMEA2621242.800.0.45-0.8_959814_154,Unknown,,Unknown.1042,II
858,12,CAC81696.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 9, Unknown: 3",I-Eukaryotes/Unknown.114,I-CD2
859,1,HGU06036.1,IV-Ykr-2,,IV-Ykr-2.116,IV-Ykr-2
860,4,HGI88409.1,Unknown,,Unknown.354,III
861,43,TKR74941.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 37, Unknown: 6",I-Eukaryotes/Unknown.59,I-CD1
862,2,WP_177268707.1,IV-Ykr-2,,IV-Ykr-2.188,IV-Ykr-2
863,3,TKJ26410.1,IV-Ykr-2,,IV-Ykr-2.18,IV-Ykr-2
864,2,GBD94064.1,IV-Ykr-2,,IV-Ykr-2.51,IV-Ykr-2
865,1,VVB65357.1,Unknown,,Unknown.123,III
866,2,VDD89099.1,III,,III.56,III
867,1,NTW71798.1,IV-Ykr-2,,IV-Ykr-2.58,IV-Ykr-2
868,3,WP_111386964.1,IV-Photo,,IV-Photo.92,IV-Photo
869,1,HGQ79017.1,Unknown,,Unknown.399,III
870,7,TWE75100.1,IV-Non-photo,,IV-Non-photo.593,IV-NonPhoto
871,1,RBG_16_Archaea_50_20_RBG_16_scaffold_16389_9,Unknown,,Unknown.14,III
872,2,WP_103992180.1,Unknown,,Unknown.218,III
873,1,VDD89207.1,III,,III.93,III
874,8,WP_150590023.1,IV-Non-photo,,IV-Non-photo.499,IV-NonPhoto
875,4,WP_072928203.1,IV-Non-photo,,IV-Non-photo.8,IV-NonPhoto
876,1,MBC7437050.1,IV-Non-photo,,IV-Non-photo.519,IV-NonPhoto
877,1,WP_188215660.1,IV-Non-photo,,IV-Non-photo.617,IV-NonPhoto
878,1,WP_027282177.1,IV-Non-photo,,IV-Non-photo.576,IV-NonPhoto
879,1,WP_092001431.1,IV-Non-photo,,IV-Non-photo.419,IV-NonPhoto
880,1,WP_111345802.1,IV-Non-photo,,IV-Non-photo.601,IV-NonPhoto
881,3,WP_037237241.1,IV-NG3,,IV-NG3.21,IV-NG2
882,1,WP_188688715.1,IV-NG1,,IV-NG1.28,IV-NG1
883,1,OPY34858.1,Unknown,,Unknown.520,IV-NG3
884,3,TARA_076.SAMEA2621203.5.0.22-0.45_2326811_3,IV-GOS_Global,,IV-GOS_Global.21,IV-GOS
885,2,WP_189014874.1,IV-NG1,,IV-NG1.37,IV-NG1
886,6,MPT23364.1,IV-Non-photo,,IV-Non-photo.83,IV-NonPhoto
887,1,WP_012641545.1,IV-Non-photo,,IV-Non-photo.137,IV-NonPhoto
888,1,VDD88846.1,II-III,,II-III.8,II-III
889,2,WP_015808559.1,IV-Non-photo,,IV-Non-photo.721,IV-NonPhoto
890,1,WP_171706253.1,IV-Non-photo,,IV-Non-photo.132,IV-NonPhoto
891,1,WP_093317524.1,IV-Non-photo,,IV-Non-photo.374,IV-NonPhoto
892,1,WP_154338239.1,IV-Non-photo,,IV-Non-photo.737,IV-NonPhoto
893,2,YP004341517_Archaeoglobus_veneficus_SNP6,Unknown,,Unknown.1020,III
894,1,WP_167607139.1,IV-Non-photo,,IV-Non-photo.411,IV-NonPhoto
895,1,NBX60943.1,IV-Non-photo,,IV-Non-photo.656,IV-NonPhoto
896,1,RLG17049.1,Unknown,,Unknown.112,III
897,2,VDD88812.1,III,,III.78,III
898,1,TARA_132.SAMEA2623059.5.0.22-3_2360982_6,IV-GOS_Global,,IV-GOS_Global.74,IV-GOS
899,1,VDS11136.1,III,,III.11,III
900,3,WP_161707447.1,IV-DeepYkr,,IV-DeepYkr.448,IV-Deep-Ykr
901,1,HCZ07400.1,IV-DeepYkr,,IV-DeepYkr.36,IV-Deep-Ykr
902,2,WP_129159866.1,IV-DeepYkr,,IV-DeepYkr.270,IV-Deep-Ykr
903,4,MYH50816.1,IV-DeepYkr,,IV-DeepYkr.422,IV-Deep-Ykr
904,1,HHJ49847.1,I-New,,I-New.13,I-NG1
905,6,TARA_124.SAMEA2622796.120.0.22-3_2096126_7,IV-DeepYkr,,IV-DeepYkr.486,IV-Deep-Ykr
906,6,VDD88717.1,III/Unknown,"III: 4, Unknown: 2",III/Unknown.24,III
907,1,VDD88979.1,III,,III.211,Unknown
908,1,PHT40417.1,Unknown,,Unknown.996,I-CD1
909,1,WP_048448716.1,IV-Non-photo,,IV-Non-photo.810,IV-NonPhoto
910,13,PHT84069.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 9, Unknown: 4",I-Eukaryotes/Unknown.184,I-CD1
911,1,VDD88906.1,III,,III.196,Unknown
912,12,WP_125244901.1,I-CD,,I-CD.49,I-CD2
913,1,TARA_025.SAMEA2619766.5.0.22-1.6_180_47,I-CD,,I-CD.185,I-CD2
914,3,WP_102070018.1,I-CD,,I-CD.93,I-CD2
915,1,WP_144294715.1,I-CD,,I-CD.46,I-CD2
916,1,WP_028990221.1,I-CD,,I-CD.79,I-CD2
917,3,WP_062155278.1,I-CD,,I-CD.92,I-CD2
918,1,MBA2549558.1,I-E,,I-E.19,I-CD2
919,3,WP_005004162.1,I-A,,I-A.70,I-A
920,11,YP_009241498.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 9, Unknown: 2",I-Eukaryotes/Unknown.17,I-CD1
921,1,HGE08046.1,Unknown,,Unknown.578,III
922,1,OLS14417.1,IV-Ykr-2,,IV-Ykr-2.203,IV-Ykr-2
923,4,MBF0220243.1,Unknown,,Unknown.883,II
924,6,BAJ21527.1,Ambiguous,"I-B: 3, I-Eukaryotes: 2, Unknown: 1",Ambiguous.8,I-CD1
925,2,BAF80663.1,I-Eukaryotes,,I-Eukaryotes.11,I-CD2
926,39,ATQ63793.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 30, Unknown: 9",I-Eukaryotes/Unknown.112,I-CD2
927,8,AAA64402.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 5, Unknown: 3",I-Eukaryotes/Unknown.115,I-CD2
928,3,NAZ25899.1,Unknown,,Unknown.359,III
929,1,TXT26043.1,Unknown,,Unknown.966,II
930,140,AWX52807.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 106, Unknown: 34",I-Eukaryotes/Unknown.10,I-CD1
931,1,TET55442.1,Unknown,,Unknown.701,IV-Unknown
932,1,WP_056502863.1,IV-Non-photo,,IV-Non-photo.704,IV-NonPhoto
933,2,RLF77532.1,Unknown,,Unknown.305,III
934,1,PIU13224.1,Unknown,,Unknown.204,III
935,1,MBC2717370.1,IV-Ykr-2,,IV-Ykr-2.171,IV-Ykr-2
936,6,VDS11193.1,III,,III.30,III
937,1,PKG32658.1,Unknown,,Unknown.370,III
938,2,HGQ15829.1,Unknown,,Unknown.170,III
939,2,AFH63276.1,IV-NG1,,IV-NG1.41,IV-NG1
940,1,WP_111482212.1,IV-Non-photo,,IV-Non-photo.22,IV-NonPhoto
941,3,WP_046793499.1,IV-Non-photo,,IV-Non-photo.759,IV-NonPhoto
942,1,WP_068085920.1,IV-Non-photo,,IV-Non-photo.36,IV-NonPhoto
943,2,WP_021818325.1,IV-Non-photo,,IV-Non-photo.655,IV-NonPhoto
944,5,WP_089962528.1,IV-Non-photo,,IV-Non-photo.512,IV-NonPhoto
945,4,WP_157317898.1,IV-NG1,,IV-NG1.36,IV-NG1
946,3,WP_136886418.1,IV-Non-photo,,IV-Non-photo.814,IV-NonPhoto
947,2,WP_124177610.1,Unknown,,Unknown.164,III
948,3,WP_106690061.1,IV-Non-photo,,IV-Non-photo.282,IV-NonPhoto
949,4,WP_018128943.1,Unknown,,Unknown.178,III
950,4,WP009365917_Halogranum_salarium_B1,Unknown,,Unknown.1025,III
951,1,WP_089695090.1,Unknown,,Unknown.147,III
952,2,WP_133285172.1,IV-Non-photo,,IV-Non-photo.729,IV-NonPhoto
953,2,MBC7108568.1,Unknown,,Unknown.506,IV-NG3
954,1,MYA10761.1,IV-DeepYkr,,IV-DeepYkr.447,IV-Deep-Ykr
955,3,TARA_138.SAMEA2623390.450.0.22-3_626150_7,Unknown,,Unknown.1096,IV-Unknown
956,9,ALI93698.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 8, Unknown: 1",I-Eukaryotes/Unknown.168,I-CD2
957,1,TARA_037.SAMEA2619974.600.0.1-0.22_25679_4,Unknown,,Unknown.1098,IV-Unknown
958,8,VDD88825.1,III/Unknown,"III: 7, Unknown: 1",III/Unknown.11,III
959,1,WP_054876466.1,IV-DeepYkr,,IV-DeepYkr.64,IV-Deep-Ykr
960,1,HHV58704.1,IV-DeepYkr,,IV-DeepYkr.209,IV-Deep-Ykr
961,1,VDD88766.1,III,,III.144,III
962,3,TARA_122.SAMEA2622657.5.0.22-0.45_1220637_14,IV-GOS_Global,,IV-GOS_Global.113,IV-GOS
963,1,KPP95335.1,IV-DeepYkr,,IV-DeepYkr.101,IV-Deep-Ykr
964,2,WP_023514682.1,IV-DeepYkr,,IV-DeepYkr.232,IV-Deep-Ykr
965,3,TARA_038.SAMEA2620035.340.0.22-1.6_191852_1,Unknown,,Unknown.1071,III
966,1,MBF0355107.1,IV-DeepYkr,,IV-DeepYkr.240,IV-Deep-Ykr
967,1,TARA_025.SAMEA2619779.5.0-0.22_8850_2,IV-GOS_Global,,IV-GOS_Global.122,IV-GOS
968,1,VDD88738.1,III,,III.190,III
969,1,VDD89157.1,III,,III.153,III
970,2,SEH04675.1,Unknown,,Unknown.991,II
971,2,OBX37869.1,IV-Non-photo,,IV-Non-photo.637,IV-NonPhoto
972,4,TARA_132.SAMEA2623098.550.0.22-3_2018617_3,IV-GOS_Global,,IV-GOS_Global.28,IV-GOS
973,8,WP_172242981.1,I-CD,,I-CD.65,I-CD2
974,6,WP_101250122.1,I-CD,,I-CD.57,I-CD2
975,1,MBF0560692.1,I-A,,I-A.36,I-A
976,8,WP_009146942.1,I-A,,I-A.73,I-A
977,1,WP_109527411.1,I-Unclassified,,I-Unclassified.11,I-CD2
978,5,WP_020503383.1,Unknown,,Unknown.931,II
979,4,NOX41362.1,Unknown,,Unknown.864,II
980,3,HHL45267.1,Unknown,,Unknown.975,II
981,9,WP_108413047.1,Unknown,,Unknown.867,II
982,7,GWA2_Gallionellales_54_124,Unknown,,Unknown.1030,II
983,1,WP_109093825.1,Unknown,,Unknown.959,II
984,2,WP_107324459.1,Unknown,,Unknown.803,II
985,1757,AAM18663.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 1547, Unknown: 210",I-Eukaryotes/Unknown.14,I-CD1
986,1,TVQ84370.1,IV-Photo,,IV-Photo.97,IV-Photo
987,1,VDD88722.1,III,,III.28,III
988,7,AFJ96197.2,I-Eukaryotes/Unknown,"I-Eukaryotes: 6, Unknown: 1",I-Eukaryotes/Unknown.147,I-CD1
989,1,CCQ95102.1,IV-Ykr-2,,IV-Ykr-2.16,IV-Ykr-2
990,3,WP_117559570.1,IV-Ykr-2,,IV-Ykr-2.204,IV-Ykr-2
991,4,RBG_13_Chloroflexi_48_17_RBG_13_scaffold_14804_4,IV-Ykr-2,,IV-Ykr-2.7,IV-Ykr-2
992,4,WP_085486890.1,IV-Non-photo,,IV-Non-photo.370,IV-NonPhoto
993,1,NVM30112.1,Unknown,,Unknown.473,IV-NG3
994,2,TFG25011.1,Unknown,,Unknown.346,Unknown
995,7,WP_092083508.1,IV-Non-photo,,IV-Non-photo.448,IV-NonPhoto
996,1,WP_159591727.1,IV-Non-photo,,IV-Non-photo.213,IV-NonPhoto
997,1,NHJ24039.1,Unknown,,Unknown.195,III
998,14,WP_086093884.1,IV-Non-photo,,IV-Non-photo.397,IV-NonPhoto
999,1,WP_120110234.1,IV-NG1,,IV-NG1.14,IV-NG1
1000,1,SEP83205.1,IV-Non-photo,,IV-Non-photo.366,IV-NonPhoto
1001,1,WP_166314583.1,IV-NG2,,IV-NG2.20,IV-NG2
1002,1,WP_142040743.1,IV-NG3,,IV-NG3.17,IV-NG2
1003,1,TKJ17875.1,Unknown,,Unknown.99,III
1004,2,ABN46917.1,I-Eukaryotes,,I-Eukaryotes.28,I-CD2
1005,1,KXA91689.1,Unknown,,Unknown.381,Unknown
1006,1,WP_036479128.1,IV-Non-photo,,IV-Non-photo.459,IV-NonPhoto
1007,2,HIG53303.1,IV-Non-photo,,IV-Non-photo.122,IV-NonPhoto
1008,1,OJX47942.1,IV-Non-photo,,IV-Non-photo.149,IV-NonPhoto
1009,1,RLI74974.1,Unknown,,Unknown.42,III
1010,4,MAW13064.1,IV-Non-photo,,IV-Non-photo.196,IV-NonPhoto
1011,1,WP_089670343.1,Unknown,,Unknown.190,III
1012,8,MBF9024547.1,IV-Non-photo,,IV-Non-photo.483,IV-NonPhoto
1013,4,MBE6524091.1,Unknown,,Unknown.601,IV-NG3
1014,1,VDD88838.1,Unknown,,Unknown.318,Unknown
1015,1,TRO53875.1,Unknown,,Unknown.117,III
1016,13,WP_178884664.1,IV-DeepYkr,,IV-DeepYkr.281,IV-Deep-Ykr
1017,2,PKO03823.1,IV-DeepYkr,,IV-DeepYkr.182,IV-Deep-Ykr
1018,1,WP_162653440.1,IV-DeepYkr,,IV-DeepYkr.428,IV-Deep-Ykr
1019,1,WP_045474920.1,IV-DeepYkr,,IV-DeepYkr.113,IV-Deep-Ykr
1020,2,PIE90237.1,IV-DeepYkr,,IV-DeepYkr.341,IV-Deep-Ykr
1021,1,WP_027878024.1,IV-DeepYkr,,IV-DeepYkr.122,IV-Deep-Ykr
1022,1,TARA_110.SAMEA2622402.50.0.22-3_118769_5,IV-GOS_Global,,IV-GOS_Global.10,IV-GOS
1023,1,NDG16207.1,IV-Non-photo,,IV-Non-photo.640,IV-NonPhoto
1024,1,MSO53855.1,IV-DeepYkr,,IV-DeepYkr.369,IV-Deep-Ykr
1025,4,AGW32477.1,II,,II.3,II
1026,1,HGU06449.1,Unknown,,Unknown.753,IV-Unknown
1027,4,WP_034847255.1,I-CD,,I-CD.141,I-CD2
1028,6,WP_056272636.1,I-CD,,I-CD.126,I-CD2
1029,1,HEU40971.1,I-CD,,I-CD.167,I-CD2
1030,13,TIN94370.1,I-CD/Unknown,"I-CD: 12, Unknown: 1",I-CD/Unknown.4,I-CD2
1031,1,HFB68562.1,I-New,,I-New.10,I-NG1
1032,13,WP_015158116.1,I-B/Unknown,"I-B: 12, Unknown: 1",I-B/Unknown.3,I-B
1033,5,AWX53290.1,I-Eukaryotes,,I-Eukaryotes.13,I-CD1
1034,17,WP_132695486.1,I-A/Unknown,"I-A: 16, Unknown: 1",I-A/Unknown.1,I-A
1035,11,cg_0.2_sub10_scaffold_215_c_2,Unknown,,Unknown.10,II
1036,2,MBD3618653.1,Unknown,,Unknown.862,II
1037,5,SPJ13930.1,Unknown,,Unknown.824,II
1038,2,MBE0492832.1,Unknown,,Unknown.908,II
1039,6,VDD89189.1,III,,III.203,III
1040,1,OYT48665.1,Unknown,,Unknown.341,III
1041,1,HHZ16893.1,IV-Ykr-2,,IV-Ykr-2.169,IV-Ykr-2
1042,1,WP_021797854.1,IV-Ykr-2,,IV-Ykr-2.211,IV-Ykr-2
1043,1,KXH71633.1,IV-Ykr-2,,IV-Ykr-2.90,IV-Ykr-2
1044,2,NAY89925.1,Unknown,,Unknown.312,III
1045,1,WP_102222643.1,IV-Non-photo,,IV-Non-photo.543,IV-NonPhoto
1046,1,NYZ75117.1,Unknown,,Unknown.319,III
1047,1,RLG20169.1,Unknown,,Unknown.51,III
1048,2,TMA21775.1,I-CD,,I-CD.175,I-CD2
1049,4,WP_011508505.1,IV-Non-photo,,IV-Non-photo.56,IV-NonPhoto
1050,7,HII01784.1,Unknown,,Unknown.283,III
1051,1,WP_102225912.1,IV-Non-photo,,IV-Non-photo.540,IV-NonPhoto
1052,9,WP_048044792.1,Unknown,,Unknown.256,III
1053,1,WP_103934209.1,IV-Non-photo,,IV-Non-photo.296,IV-NonPhoto
1054,1,WP_094049502.1,IV-NG1,,IV-NG1.16,IV-NG1
1055,1,TFF95820.1,Unknown,,Unknown.250,Unknown
1056,1,NTV27705.1,Unknown,,Unknown.265,III
1057,1,WP_157014700.1,IV-Non-photo,,IV-Non-photo.347,IV-NonPhoto
1058,1,WP_136572280.1,IV-Non-photo,,IV-Non-photo.574,IV-NonPhoto
1059,4,WP_091382429.1,IV-NG3,,IV-NG3.7,IV-NG2
1060,6,PZP99719.1,IV-Non-photo,,IV-Non-photo.778,IV-NonPhoto
1061,4,WP_028958369.1,IV-Non-photo,,IV-Non-photo.465,IV-NonPhoto
1062,6,WP_176355401.1,IV-Non-photo,,IV-Non-photo.733,IV-NonPhoto
1063,4,WP_128598523.1,IV-Non-photo,,IV-Non-photo.148,IV-NonPhoto
1064,1,WP_114750520.1,IV-Non-photo,,IV-Non-photo.776,IV-NonPhoto
1065,1,MBC7947403.1,IV-Non-photo,,IV-Non-photo.138,IV-NonPhoto
1066,3,HHJ05244.1,Unknown,,Unknown.206,III
1067,1,VDD89116.1,III,,III.57,III
1068,2,TARA_133.SAMEA2623116.5.0.22-3_2799596_22,IV-GOS_Global,,IV-GOS_Global.53,IV-GOS
1069,2,WP_002740716.1,IV-Ykr,,IV-Ykr.27,IV-Ykr
1070,2,NLE02268.1,IV-DeepYkr,,IV-DeepYkr.68,IV-Deep-Ykr
1071,1,NMB54343.1,IV-DeepYkr,,IV-DeepYkr.11,IV-Deep-Ykr
1072,3,GWA2_Elusimicrobia_69_24,IV-GOS_Global,,IV-GOS_Global.4,IV-GOS
1073,1,WP_097136486.1,IV-DeepYkr,,IV-DeepYkr.175,IV-Deep-Ykr
1074,1,VDD89183.1,III,,III.164,III
1075,8,AAG00344.1,I-Eukaryotes,,I-Eukaryotes.45,I-CD2
1076,1,MBE2225290.1,IV-Non-photo,,IV-Non-photo.809,IV-NonPhoto
1077,1,Q41407.1,Unknown,,Unknown.1001,II
1078,54,WP_073427429.1,I-CD,,I-CD.160,I-CD2
1079,7,WP_141385195.1,I-CD,,I-CD.77,I-CD2
1080,5,MBA2254884.1,I-CD,,I-CD.70,I-CD2
1081,1,MBA3365426.1,I-F,,I-F.1,I-CD2
1082,8,TARA_030.SAMEA2591122.70.0.22-1.6_131638_6,I-CD,,I-CD.191,I-CD2
1083,6,MBE3560968.1,I-G,,I-G.4,I-CD2
1084,3,KAA0215461.1,I-CD,,I-CD.64,I-CD2
1085,2,YP006921907_Methanolobus_psychrophilus_R15,Unknown,,Unknown.1036,II-III
1086,1,ASD45851.1,Unknown,,Unknown.744,I-CD1
1087,829,AIZ98323.1,Ambiguous,"I-Eukaryotes: 638, Unknown: 190, I-B: 1",Ambiguous.22,I-CD1
1088,641,CAD92738.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 557, Unknown: 84",I-Eukaryotes/Unknown.33,I-CD1
1089,3,WP_153116703.1,Unknown,,Unknown.763,II
1090,1,WP_114277996.1,Unknown,,Unknown.837,II
1091,1,HCA27258.1,Unknown,,Unknown.880,II
1092,1,RLF05449.1,Unknown,,Unknown.501,IV-NG3
1093,4,WP_155450716.1,IV-Photo,,IV-Photo.90,IV-Photo
1094,1,HEC33309.1,IV-Ykr-2,,IV-Ykr-2.70,IV-Ykr-2
1095,1,NLF12046.1,IV-Ykr-2,,IV-Ykr-2.97,IV-Ykr-2
1096,1,WP_012506346.1,IV-Photo,,IV-Photo.43,IV-Photo
1097,6,WP_007849977.1,IV-Non-photo,,IV-Non-photo.277,IV-NonPhoto
1098,1,WP_015325018.1,Unknown,,Unknown.526,III
1099,1,AAA64629.1,Unknown,,Unknown.1003,I-CD2
1100,1,WP_138691086.1,IV-NG2,,IV-NG2.53,IV-NG2
1101,2,WP_128356257.1,IV-Non-photo,,IV-Non-photo.140,IV-NonPhoto
1102,1,HHS69644.1,Unknown,,Unknown.721,IV-Unknown
1103,3,WP_187100931.1,IV-NG1,,IV-NG1.21,IV-NG1
1104,5,WP_031382486.1,IV-Non-photo,,IV-Non-photo.45,IV-NonPhoto
1105,1,QLH75095.1,Unknown,,Unknown.530,IV-NG3
1106,1,RLE70929.1,Unknown,,Unknown.485,IV-NG3
1107,2,WP_107844945.1,IV-Non-photo,,IV-Non-photo.228,IV-NonPhoto
1108,1,NOY14888.1,Unknown,,Unknown.463,Unknown
1109,4,WP_012809551.1,IV-Ykr/Unknown,"IV-Ykr: 3, Unknown: 1",IV-Ykr/Unknown.2,IV-Ykr
1110,1,ACDUNK_771_4,Unknown,,Unknown.1,Unknown
1111,1,WP_150093890.1,IV-DeepYkr,,IV-DeepYkr.91,IV-Deep-Ykr
1112,6,MRG77572.1,Unknown,,Unknown.496,IV-NG3
1113,3,MBC7080085.1,Unknown,,Unknown.486,IV-NG3
1114,1,WP_184310684.1,IV-DeepYkr,,IV-DeepYkr.51,IV-Deep-Ykr
1115,1,MBC7809790.1,IV-DeepYkr,,IV-DeepYkr.161,IV-Deep-Ykr
1116,2,QHN68910.1,Unknown,,Unknown.418,III
1117,1,MBF0559314.1,IV-DeepYkr,,IV-DeepYkr.39,IV-Deep-Ykr
1118,1,VFJ90564.1,IV-DeepYkr,,IV-DeepYkr.49,IV-Deep-Ykr
1119,5,TARA_004.SAMEA2619376.5.0.22-1.6_5224_19,IV-GOS_Global,,IV-GOS_Global.108,IV-GOS
1120,5,TARA_030.SAMEA2591122.70.0.22-1.6_1823072_3,IV-GOS_Global,,IV-GOS_Global.114,IV-GOS
1121,3,XP_002508354.1,IV-DeepYkr,,IV-DeepYkr.256,IV-Deep-Ykr
1122,1,NHZ74054.1,IV-DeepYkr,,IV-DeepYkr.251,IV-Deep-Ykr
1123,1,TKW64902.1,IV-DeepYkr,,IV-DeepYkr.413,IV-Deep-Ykr
1124,3,HDZ31066.1,Unknown,,Unknown.478,Unknown
1125,1,VDD89149.1,III,,III.232,III
1126,1,AQW41666.1,I-Eukaryotes,,I-Eukaryotes.48,I-CD1
1127,14,MBE0546929.1,I-CD,,I-CD.72,I-CD2
1128,50,AWT38157.1,I-Eukaryotes,,I-Eukaryotes.18,I-CD2
1129,8,WP_173051934.1,I-CD,,I-CD.83,I-CD2
1130,2,MBA3959629.1,I-CD,,I-CD.58,I-CD2
1131,15,WP_192877741.1,I-CD,,I-CD.81,I-CD2
1132,11,WP_055843871.1,I-CD,,I-CD.60,I-CD2
1133,1,MBE3598770.1,I-New,,I-New.1,I-NG1
1134,2,NTU78830.1,I-G,,I-G.10,I-CD2
1135,5,WP_176964896.1,Unknown,,Unknown.700,II-III
1136,1,WP_043840311.1,I-E,,I-E.35,I-CD2
1137,5,TSA10292.1,I-A,,I-A.39,I-A
1138,3,MBC7881724.1,I-B,,I-B.12,I-B
1139,34,WP_013034313.1,I-A,,I-A.34,I-A
1140,3,WP_136385366.1,I-A,,I-A.2,I-A
1141,4,HIK01242.1,Unknown,,Unknown.626,III
1142,4,CAE25430.1,I-Eukaryotes/Unknown,"Unknown: 2, I-Eukaryotes: 2",I-Eukaryotes/Unknown.98,I-CD2
1143,1,MBD3185537.1,I-Unclassified,,I-Unclassified.27,Unknown
1144,1,HHL31643.1,Unknown,,Unknown.782,II
1145,2,WP_046022207.1,Unknown,,Unknown.903,II
1146,1,WP_153111782.1,Unknown,,Unknown.800,II
1147,26,AAV85108.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 21, Unknown: 5",I-Eukaryotes/Unknown.51,I-CD2
1148,62,AAV85162.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 54, Unknown: 8",I-Eukaryotes/Unknown.85,I-CD2
1149,48,AAL71897.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 43, Unknown: 5",I-Eukaryotes/Unknown.16,I-CD1
1150,1,HDM91862.1,Unknown,,Unknown.367,III
1151,85,QDB64660.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 64, Unknown: 21",I-Eukaryotes/Unknown.134,I-CD1
1152,1,WP_174246412.1,IV-Non-photo,,IV-Non-photo.171,IV-NonPhoto
1153,1,VVB76253.1,Unknown,,Unknown.203,III
1154,4,WP_126342751.1,IV-Photo,,IV-Photo.56,IV-Photo
1155,1,WP_066087190.1,IV-Non-photo,,IV-Non-photo.52,IV-NonPhoto
1156,1,MBC7120359.1,Unknown,,Unknown.489,IV-NG3
1157,1,NLI55437.1,IV-Ykr-2,,IV-Ykr-2.89,IV-Ykr-2
1158,4,WP_012501689.1,IV-Photo,,IV-Photo.20,IV-Photo
1159,2,NTW51887.1,IV-Photo,,IV-Photo.37,IV-Photo
1160,1,NDJ62417.1,IV-Photo,,IV-Photo.93,IV-Photo
1161,3,WP_186399798.1,IV-Non-photo,,IV-Non-photo.69,IV-NonPhoto
1162,1,WP_152767177.1,IV-Non-photo,,IV-Non-photo.34,IV-NonPhoto
1163,1,NMA44343.1,Unknown,,Unknown.423,III
1164,2,TARA_128.SAMEA2622923.40.0.22-3_2029233_12,IV-NG1,,IV-NG1.67,IV-NG1
1165,2,TCK73327.1,IV-Non-photo,,IV-Non-photo.68,IV-NonPhoto
1166,1,WP_128658596.1,IV-NG1,,IV-NG1.48,IV-NG1
1167,1,WP_104133976.1,IV-NG3,,IV-NG3.6,IV-NG2
1168,2,WP_182299077.1,IV-NG1,,IV-NG1.53,IV-NG1
1169,1,WP_108046514.1,IV-Non-photo,,IV-Non-photo.667,IV-NonPhoto
1170,4,WP_081174387.1,IV-Non-photo,,IV-Non-photo.688,IV-NonPhoto
1171,1,WP_145844013.1,Unknown,,Unknown.214,III
1172,2,ODT93535.1,IV-Non-photo,,IV-Non-photo.255,IV-NonPhoto
1173,2,WP_015591542.1,Unknown,,Unknown.114,III
1174,1,NLD67972.1,IV-DeepYkr,,IV-DeepYkr.472,IV-Deep-Ykr
1175,8,AAD22587.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 5, Unknown: 3",I-Eukaryotes/Unknown.194,I-CD2
1176,1,TARA_125.SAMEA2622823.5.0.45-0.8_146852_3,IV-GOS_Global,,IV-GOS_Global.75,IV-GOS
1177,4,TARA_076.SAMEA2621242.800.0.45-0.8_2478531_22,IV-Non-photo,,IV-Non-photo.829,IV-NonPhoto
1178,1,WP_015142382.1,IV-Ykr,,IV-Ykr.24,IV-Ykr
1179,1,NBS56032.1,IV-DeepYkr,,IV-DeepYkr.273,IV-Deep-Ykr
1180,7,TARA_099.SAMEA2622074.5.0.22-3_1320275_10,IV-GOS_Global,,IV-GOS_Global.20,IV-GOS
1181,1,WP_054261132.1,IV-DeepYkr,,IV-DeepYkr.82,IV-Deep-Ykr
1182,1,NIM52323.1,IV-DeepYkr,,IV-DeepYkr.290,IV-Deep-Ykr
1183,1,WP_166583180.1,IV-DeepYkr,,IV-DeepYkr.427,IV-Deep-Ykr
