cluster,size,seed,type,type_info,tree_name
978,5,WP_020503383.1,Unknown,,Unknown.931
979,4,NOX41362.1,Unknown,,Unknown.864
980,3,HHL45267.1,Unknown,,Unknown.975
981,9,WP_108413047.1,Unknown,,Unknown.867
982,7,GWA2_Gallionellales_54_124,Unknown,,Unknown.1030
983,1,WP_109093825.1,Unknown,,Unknown.959
984,2,WP_107324459.1,Unknown,,Unknown.803
985,1757,AAM18663.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 1547, Unknown: 210",I-Eukaryotes/Unknown.14
986,1,TVQ84370.1,IV-Photo,,IV-Photo.97
987,1,VDD88722.1,III,,III.28
988,7,AFJ96197.2,I-Eukaryotes/Unknown,"I-Eukaryotes: 6, Unknown: 1",I-Eukaryotes/Unknown.147
989,1,CCQ95102.1,IV-Ykr-2,,IV-Ykr-2.16
990,3,WP_117559570.1,IV-Ykr-2,,IV-Ykr-2.204
991,4,RBG_13_Chloroflexi_48_17_RBG_13_scaffold_14804_4,IV-Ykr-2,,IV-Ykr-2.7
992,4,WP_085486890.1,IV-Non-photo,,IV-Non-photo.370
993,1,NVM30112.1,Unknown,,Unknown.473
994,2,TFG25011.1,Unknown,,Unknown.346
995,7,WP_092083508.1,IV-Non-photo,,IV-Non-photo.448
996,1,WP_159591727.1,IV-Non-photo,,IV-Non-photo.213
997,1,NHJ24039.1,Unknown,,Unknown.195
998,14,WP_086093884.1,IV-Non-photo,,IV-Non-photo.397
999,1,WP_120110234.1,IV-NG1,,IV-NG1.14
1000,1,SEP83205.1,IV-Non-photo,,IV-Non-photo.366
1001,1,WP_166314583.1,IV-NG2,,IV-NG2.20
1002,1,WP_142040743.1,IV-NG3,,IV-NG3.17
1003,1,TKJ17875.1,Unknown,,Unknown.99
1004,2,ABN46917.1,I-Eukaryotes,,I-Eukaryotes.28
1005,1,KXA91689.1,Unknown,,Unknown.381
1006,1,WP_036479128.1,IV-Non-photo,,IV-Non-photo.459
1007,2,HIG53303.1,IV-Non-photo,,IV-Non-photo.122
1008,1,OJX47942.1,IV-Non-photo,,IV-Non-photo.149
1009,1,RLI74974.1,Unknown,,Unknown.42
1010,4,MAW13064.1,IV-Non-photo,,IV-Non-photo.196
1011,1,WP_089670343.1,Unknown,,Unknown.190
1012,8,MBF9024547.1,IV-Non-photo,,IV-Non-photo.483
1013,4,MBE6524091.1,Unknown,,Unknown.601
1014,1,VDD88838.1,Unknown,,Unknown.318
1015,1,TRO53875.1,Unknown,,Unknown.117
1016,13,WP_178884664.1,IV-DeepYkr,,IV-DeepYkr.281
1017,2,PKO03823.1,IV-DeepYkr,,IV-DeepYkr.182
1018,1,WP_162653440.1,IV-DeepYkr,,IV-DeepYkr.428
1019,1,WP_045474920.1,IV-DeepYkr,,IV-DeepYkr.113
1020,2,PIE90237.1,IV-DeepYkr,,IV-DeepYkr.341
1021,1,WP_027878024.1,IV-DeepYkr,,IV-DeepYkr.122
1022,1,TARA_110.SAMEA2622402.50.0.22-3_118769_5,IV-GOS_Global,,IV-GOS_Global.10
1023,1,NDG16207.1,IV-Non-photo,,IV-Non-photo.640
1024,1,MSO53855.1,IV-DeepYkr,,IV-DeepYkr.369
1025,4,AGW32477.1,II,,II.3
1026,1,HGU06449.1,Unknown,,Unknown.753
1027,4,WP_034847255.1,I-CD,,I-CD.141
1028,6,WP_056272636.1,I-CD,,I-CD.126
1029,1,HEU40971.1,I-CD,,I-CD.167
1030,13,TIN94370.1,I-CD/Unknown,"I-CD: 12, Unknown: 1",I-CD/Unknown.4
1031,1,HFB68562.1,I-New,,I-New.10
1032,13,WP_015158116.1,I-B/Unknown,"I-B: 12, Unknown: 1",I-B/Unknown.3
1033,5,AWX53290.1,I-Eukaryotes,,I-Eukaryotes.13
1034,17,WP_132695486.1,I-A/Unknown,"I-A: 16, Unknown: 1",I-A/Unknown.1
1035,11,cg_0.2_sub10_scaffold_215_c_2,Unknown,,Unknown.10
1036,2,MBD3618653.1,Unknown,,Unknown.862
1037,5,SPJ13930.1,Unknown,,Unknown.824
1038,2,MBE0492832.1,Unknown,,Unknown.908
1039,6,VDD89189.1,III,,III.203
1040,1,OYT48665.1,Unknown,,Unknown.341
1041,1,HHZ16893.1,IV-Ykr-2,,IV-Ykr-2.169
1042,1,WP_021797854.1,IV-Ykr-2,,IV-Ykr-2.211
1043,1,KXH71633.1,IV-Ykr-2,,IV-Ykr-2.90
1044,2,NAY89925.1,Unknown,,Unknown.312
1045,1,WP_102222643.1,IV-Non-photo,,IV-Non-photo.543
1046,1,NYZ75117.1,Unknown,,Unknown.319
1047,1,RLG20169.1,Unknown,,Unknown.51
1048,2,TMA21775.1,I-CD,,I-CD.175
1049,4,WP_011508505.1,IV-Non-photo,,IV-Non-photo.56
1050,7,HII01784.1,Unknown,,Unknown.283
1051,1,WP_102225912.1,IV-Non-photo,,IV-Non-photo.540
1052,9,WP_048044792.1,Unknown,,Unknown.256
1053,1,WP_103934209.1,IV-Non-photo,,IV-Non-photo.296
1054,1,WP_094049502.1,IV-NG1,,IV-NG1.16
1055,1,TFF95820.1,Unknown,,Unknown.250
1056,1,NTV27705.1,Unknown,,Unknown.265
1057,1,WP_157014700.1,IV-Non-photo,,IV-Non-photo.347
1058,1,WP_136572280.1,IV-Non-photo,,IV-Non-photo.574
1059,4,WP_091382429.1,IV-NG3,,IV-NG3.7
1060,6,PZP99719.1,IV-Non-photo,,IV-Non-photo.778
1061,4,WP_028958369.1,IV-Non-photo,,IV-Non-photo.465
1062,6,WP_176355401.1,IV-Non-photo,,IV-Non-photo.733
1063,4,WP_128598523.1,IV-Non-photo,,IV-Non-photo.148
1064,1,WP_114750520.1,IV-Non-photo,,IV-Non-photo.776
1065,1,MBC7947403.1,IV-Non-photo,,IV-Non-photo.138
1066,3,HHJ05244.1,Unknown,,Unknown.206
1067,1,VDD89116.1,III,,III.57
1068,2,TARA_133.SAMEA2623116.5.0.22-3_2799596_22,IV-GOS_Global,,IV-GOS_Global.53
1069,2,WP_002740716.1,IV-Ykr,,IV-Ykr.27
1070,2,NLE02268.1,IV-DeepYkr,,IV-DeepYkr.68
1071,1,NMB54343.1,IV-DeepYkr,,IV-DeepYkr.11
1072,3,GWA2_Elusimicrobia_69_24,IV-GOS_Global,,IV-GOS_Global.4
1073,1,WP_097136486.1,IV-DeepYkr,,IV-DeepYkr.175
1074,1,VDD89183.1,III,,III.164
1075,8,AAG00344.1,I-Eukaryotes,,I-Eukaryotes.45
1076,1,MBE2225290.1,IV-Non-photo,,IV-Non-photo.809
1077,1,Q41407.1,Unknown,,Unknown.1001
1078,54,WP_073427429.1,I-CD,,I-CD.160
1079,7,WP_141385195.1,I-CD,,I-CD.77
1080,5,MBA2254884.1,I-CD,,I-CD.70
1081,1,MBA3365426.1,I-F,,I-F.1
1082,8,TARA_030.SAMEA2591122.70.0.22-1.6_131638_6,I-CD,,I-CD.191
1083,6,MBE3560968.1,I-G,,I-G.4
1084,3,KAA0215461.1,I-CD,,I-CD.64
1085,2,YP006921907_Methanolobus_psychrophilus_R15,Unknown,,Unknown.1036
1086,1,ASD45851.1,Unknown,,Unknown.744
1087,829,AIZ98323.1,Ambiguous,"I-Eukaryotes: 638, Unknown: 190, I-B: 1",Ambiguous.22
1088,641,CAD92738.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 557, Unknown: 84",I-Eukaryotes/Unknown.33
1089,3,WP_153116703.1,Unknown,,Unknown.763
1090,1,WP_114277996.1,Unknown,,Unknown.837
1091,1,HCA27258.1,Unknown,,Unknown.880
1092,1,RLF05449.1,Unknown,,Unknown.501
1093,4,WP_155450716.1,IV-Photo,,IV-Photo.90
1094,1,HEC33309.1,IV-Ykr-2,,IV-Ykr-2.70
1095,1,NLF12046.1,IV-Ykr-2,,IV-Ykr-2.97
1096,1,WP_012506346.1,IV-Photo,,IV-Photo.43
1097,6,WP_007849977.1,IV-Non-photo,,IV-Non-photo.277
1098,1,WP_015325018.1,Unknown,,Unknown.526
1099,1,AAA64629.1,Unknown,,Unknown.1003
1100,1,WP_138691086.1,IV-NG2,,IV-NG2.53
1101,2,WP_128356257.1,IV-Non-photo,,IV-Non-photo.140
1102,1,HHS69644.1,Unknown,,Unknown.721
1103,3,WP_187100931.1,IV-NG1,,IV-NG1.21
1104,5,WP_031382486.1,IV-Non-photo,,IV-Non-photo.45
1105,1,QLH75095.1,Unknown,,Unknown.530
1106,1,RLE70929.1,Unknown,,Unknown.485
1107,2,WP_107844945.1,IV-Non-photo,,IV-Non-photo.228
1108,1,NOY14888.1,Unknown,,Unknown.463
1109,4,WP_012809551.1,IV-Ykr/Unknown,"IV-Ykr: 3, Unknown: 1",IV-Ykr/Unknown.2
1110,1,ACDUNK_771_4,Unknown,,Unknown.1
1111,1,WP_150093890.1,IV-DeepYkr,,IV-DeepYkr.91
1112,6,MRG77572.1,Unknown,,Unknown.496
1113,3,MBC7080085.1,Unknown,,Unknown.486
1114,1,WP_184310684.1,IV-DeepYkr,,IV-DeepYkr.51
1115,1,MBC7809790.1,IV-DeepYkr,,IV-DeepYkr.161
1116,2,QHN68910.1,Unknown,,Unknown.418
1117,1,MBF0559314.1,IV-DeepYkr,,IV-DeepYkr.39
1118,1,VFJ90564.1,IV-DeepYkr,,IV-DeepYkr.49
1119,5,TARA_004.SAMEA2619376.5.0.22-1.6_5224_19,IV-GOS_Global,,IV-GOS_Global.108
1120,5,TARA_030.SAMEA2591122.70.0.22-1.6_1823072_3,IV-GOS_Global,,IV-GOS_Global.114
1121,3,XP_002508354.1,IV-DeepYkr,,IV-DeepYkr.256
1122,1,NHZ74054.1,IV-DeepYkr,,IV-DeepYkr.251
1123,1,TKW64902.1,IV-DeepYkr,,IV-DeepYkr.413
1124,3,HDZ31066.1,Unknown,,Unknown.478
1125,1,VDD89149.1,III,,III.232
1126,1,AQW41666.1,I-Eukaryotes,,I-Eukaryotes.48
1127,14,MBE0546929.1,I-CD,,I-CD.72
1128,50,AWT38157.1,I-Eukaryotes,,I-Eukaryotes.18
1129,8,WP_173051934.1,I-CD,,I-CD.83
1130,2,MBA3959629.1,I-CD,,I-CD.58
1131,15,WP_192877741.1,I-CD,,I-CD.81
1132,11,WP_055843871.1,I-CD,,I-CD.60
1133,1,MBE3598770.1,I-New,,I-New.1
1134,2,NTU78830.1,I-G,,I-G.10
1135,5,WP_176964896.1,Unknown,,Unknown.700
1136,1,WP_043840311.1,I-E,,I-E.35
1137,5,TSA10292.1,I-A,,I-A.39
1138,3,MBC7881724.1,I-B,,I-B.12
1139,34,WP_013034313.1,I-A,,I-A.34
1140,3,WP_136385366.1,I-A,,I-A.2
1141,4,HIK01242.1,Unknown,,Unknown.626
1142,4,CAE25430.1,I-Eukaryotes/Unknown,"Unknown: 2, I-Eukaryotes: 2",I-Eukaryotes/Unknown.98
1143,1,MBD3185537.1,I-Unclassified,,I-Unclassified.27
1144,1,HHL31643.1,Unknown,,Unknown.782
1145,2,WP_046022207.1,Unknown,,Unknown.903
1146,1,WP_153111782.1,Unknown,,Unknown.800
1147,26,AAV85108.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 21, Unknown: 5",I-Eukaryotes/Unknown.51
1148,62,AAV85162.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 54, Unknown: 8",I-Eukaryotes/Unknown.85
1149,48,AAL71897.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 43, Unknown: 5",I-Eukaryotes/Unknown.16
1150,1,HDM91862.1,Unknown,,Unknown.367
1151,85,QDB64660.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 64, Unknown: 21",I-Eukaryotes/Unknown.134
1152,1,WP_174246412.1,IV-Non-photo,,IV-Non-photo.171
1153,1,VVB76253.1,Unknown,,Unknown.203
1154,4,WP_126342751.1,IV-Photo,,IV-Photo.56
1155,1,WP_066087190.1,IV-Non-photo,,IV-Non-photo.52
1156,1,MBC7120359.1,Unknown,,Unknown.489
1157,1,NLI55437.1,IV-Ykr-2,,IV-Ykr-2.89
1158,4,WP_012501689.1,IV-Photo,,IV-Photo.20
1159,2,NTW51887.1,IV-Photo,,IV-Photo.37
1160,1,NDJ62417.1,IV-Photo,,IV-Photo.93
1161,3,WP_186399798.1,IV-Non-photo,,IV-Non-photo.69
1162,1,WP_152767177.1,IV-Non-photo,,IV-Non-photo.34
1163,1,NMA44343.1,Unknown,,Unknown.423
1164,2,TARA_128.SAMEA2622923.40.0.22-3_2029233_12,IV-NG1,,IV-NG1.67
1165,2,TCK73327.1,IV-Non-photo,,IV-Non-photo.68
1166,1,WP_128658596.1,IV-NG1,,IV-NG1.48
1167,1,WP_104133976.1,IV-NG3,,IV-NG3.6
1168,2,WP_182299077.1,IV-NG1,,IV-NG1.53
1169,1,WP_108046514.1,IV-Non-photo,,IV-Non-photo.667
1170,4,WP_081174387.1,IV-Non-photo,,IV-Non-photo.688
1171,1,WP_145844013.1,Unknown,,Unknown.214
1172,2,ODT93535.1,IV-Non-photo,,IV-Non-photo.255
1173,2,WP_015591542.1,Unknown,,Unknown.114
1174,1,NLD67972.1,IV-DeepYkr,,IV-DeepYkr.472
1175,8,AAD22587.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 5, Unknown: 3",I-Eukaryotes/Unknown.194
1176,1,TARA_125.SAMEA2622823.5.0.45-0.8_146852_3,IV-GOS_Global,,IV-GOS_Global.75
1177,4,TARA_076.SAMEA2621242.800.0.45-0.8_2478531_22,IV-Non-photo,,IV-Non-photo.829
1178,1,WP_015142382.1,IV-Ykr,,IV-Ykr.24
1179,1,NBS56032.1,IV-DeepYkr,,IV-DeepYkr.273
1180,7,TARA_099.SAMEA2622074.5.0.22-3_1320275_10,IV-GOS_Global,,IV-GOS_Global.20
1181,1,WP_054261132.1,IV-DeepYkr,,IV-DeepYkr.82
1182,1,NIM52323.1,IV-DeepYkr,,IV-DeepYkr.290
1183,1,WP_166583180.1,IV-DeepYkr,,IV-DeepYkr.427
1184,1,APV48220.1,IV-DeepYkr,,IV-DeepYkr.126
1185,2,RYG97073.1,IV-Non-photo,,IV-Non-photo.816
1186,1,KXA88671.1,Unknown,,Unknown.508
1187,1,PHT54990.1,I-Eukaryotes,,I-Eukaryotes.92
1188,20,TARA_084.SAMEA2621487.5.0.22-3_500725_6,Ambiguous,"I-CD: 18, I-Eukaryotes: 2",Ambiguous.32
1189,1,NWJ96371.1,I-Unclassified,,I-Unclassified.13
1190,1,VDS11196.1,II-III,,II-III.1
1191,6,WP_139097173.1,I-E,,I-E.22
1192,1,GBE43454.1,I-A,,I-A.42
1193,9,WP_028931762.1,I-E,,I-E.9
1194,1,AAN71864.1,Unknown,,Unknown.698
1195,4,OYY24703.1,I-A,,I-A.69
1196,2,PHS24760.1,I-A,,I-A.63
1197,4,WP_100277765.1,Unknown,,Unknown.769
1198,13,CAB65367.1,I-Eukaryotes/Unknown,"Unknown: 7, I-Eukaryotes: 6",I-Eukaryotes/Unknown.84
1199,3,WP_011390153.1,Unknown,,Unknown.812
1200,3,RIFCSPHIGHO2_02_FULL_OP11_39_14_rifcsphigho2_02_scaffold_3431_21,Unknown,,Unknown.20
1201,4,WP_088518856.1,Unknown,,Unknown.826
1202,1,TAN46839.1,Unknown,,Unknown.796
1203,1,WP_126703635.1,Unknown,,Unknown.830
1204,2,MBF0094001.1,Unknown,,Unknown.808
1205,1526,AEE98273.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 1315, Unknown: 211",I-Eukaryotes/Unknown.39
1206,1,WP_005946848.1,IV-Ykr-2,,IV-Ykr-2.177
1207,2,NTW49490.1,IV-Photo,,IV-Photo.16
1208,2,VDS11182.1,III,,III.133
1209,1,RBG_13_Archaea_36_9_RBG_13_scaffold_1343_4,Unknown,,Unknown.17
1210,1,AFP23731.1,Unknown,,Unknown.622
1211,1,TARA_039.SAMEA2620106.270.0.1-0.22_1669_19,Unknown,,Unknown.1072
1212,1,WP_140677695.1,IV-Non-photo,,IV-Non-photo.604
1213,1,OPY38210.1,Unknown,,Unknown.115
1214,1,HDN75750.1,Unknown,,Unknown.385
1215,2,OYT29571.1,Unknown,,Unknown.81
1216,3,NDA81884.1,IV-DeepYkr,,IV-DeepYkr.158
1217,2,ROR72417.1,IV-NG2,,IV-NG2.32
1218,5,KTR06937.1,IV-Non-photo,,IV-Non-photo.401
1219,1,WP_137731196.1,IV-Non-photo,,IV-Non-photo.758
1220,3,WP_175193170.1,IV-Non-photo,,IV-Non-photo.550
1221,10,WP_109973062.1,IV-Non-photo,,IV-Non-photo.97
1222,2,WP_112172205.1,IV-Non-photo,,IV-Non-photo.501
1223,1,TARA_004.SAMEA2619376.5.0.22-1.6_2667_5,Unknown,,Unknown.1097
1224,4,WP_011941965.1,IV-Non-photo,,IV-Non-photo.807
1225,1,WP_158804831.1,IV-Non-photo,,IV-Non-photo.812
1226,1,WP_183367603.1,IV-Non-photo,,IV-Non-photo.575
1227,3,WP_178014747.1,IV-NG2,,IV-NG2.15
1228,1,MBA4106815.1,IV-Non-photo,,IV-Non-photo.441
1229,13,WP_092986222.1,IV-Non-photo,,IV-Non-photo.536
1230,48,WP_127853529.1,IV-Non-photo,,IV-Non-photo.595
1231,1,RLJ03461.1,Unknown,,Unknown.270
1232,3,TARA_039.SAMEA2620106.270.0.1-0.22_8536_3,Unknown,,Unknown.1063
1233,1,HGW37750.1,Unknown,,Unknown.199
1234,2,WP_127819384.1,IV-NG2,,IV-NG2.40
1235,2,TRO49499.1,Unknown,,Unknown.106
1236,1,TARA_070.SAMEA2621085.5.0-0.22_402_18,IV-GOS_Global,,IV-GOS_Global.105
1237,1,MBA4383258.1,IV-DeepYkr,,IV-DeepYkr.190
1238,1,MBA4220968.1,IV-DeepYkr,,IV-DeepYkr.395
1239,1,PKM78364.1,IV-DeepYkr,,IV-DeepYkr.17
1240,1,WP_173766955.1,IV-DeepYkr,,IV-DeepYkr.388
1241,2,TSA49026.1,Unknown,,Unknown.471
1242,1,NJD32225.1,I-CD,,I-CD.26
1243,5,TARA_112.SAMEA2622545.155.0.22-3_1958617_3,I-CD,,I-CD.186
1244,1,NWG23835.1,I-CD,,I-CD.129
1245,14,2503564260_Pse7367DRAFT_0409_ribulose_1_5_bisphosphate_carboxylase_large_subunit__EC_4.1.1.39___IMGterm___Pseudanabaena_sp._PCC_7367___PspPCC7367_Contig107_,I-B,,I-B.18
1246,10,WP_063463833.1,I-A,,I-A.76
1247,360,AAD02080.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 322, Unknown: 38",I-Eukaryotes/Unknown.77
1248,3,HHI70798.1,Unknown,,Unknown.868
1249,1,RBG_16_OP11_37_8_RBG_16_scaffold_34109_9,Unknown,,Unknown.27
1250,4,WP_005960001.1,Unknown,,Unknown.829
1251,3,WP_011289362.1,Unknown,,Unknown.935
1252,1,KAF0205759.1,Unknown,,Unknown.882
1253,2386,AAM55997.1,Ambiguous,"I-Eukaryotes: 1984, Unknown: 400, I-B: 2",Ambiguous.4
1254,1,WP_006599467.1,IV-Ykr-2,,IV-Ykr-2.115
1255,43,AHW52086.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 37, Unknown: 6",I-Eukaryotes/Unknown.152
1256,1,NYT82152.1,IV-NG1,,IV-NG1.35
1257,1,HIQ03182.1,Unknown,,Unknown.276
1258,3,TFG99348.1,IV-Ykr-2,,IV-Ykr-2.118
1259,3,HHI48635.1,Unknown,,Unknown.503
1260,1,WP_168912097.1,IV-NG2,,IV-NG2.25
1261,1,TNF52367.1,IV-Photo,,IV-Photo.80
1262,1,WP_037049749.1,IV-NG3,,IV-NG3.22
1263,1,VDD89130.1,III,,III.180
1264,1,TFG16462.1,Unknown,,Unknown.264
1265,1,RYH04748.1,IV-Non-photo,,IV-Non-photo.728
1266,1,RLI98096.1,Unknown,,Unknown.155
1267,1,WP_184148301.1,IV-Non-photo,,IV-Non-photo.591
1268,1,RLI78962.1,Unknown,,Unknown.58
1269,1,NLL94435.1,Unknown,,Unknown.621
1270,1,RLG17436.1,Unknown,,Unknown.260
1271,1,TET58981.1,Unknown,,Unknown.145
1272,1,TARA_064.SAMEA2620852.65.0-0.22_187_23,IV-GOS_Global,,IV-GOS_Global.79
1273,1,WP_131616821.1,IV-DeepYkr,,IV-DeepYkr.405
1274,1,OQY79485.1,IV-DeepYkr,,IV-DeepYkr.159
1275,1,KGP75796.1,IV-DeepYkr,,IV-DeepYkr.61
1276,2,WP_128515260.1,IV-DeepYkr,,IV-DeepYkr.309
1277,1,WP_107494266.1,IV-DeepYkr,,IV-DeepYkr.382
1278,1,VDD88855.1,III,,III.168
1279,1,HEL44153.1,IV-Ykr-2,,IV-Ykr-2.210
1280,4,AAF35271.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 3, Unknown: 1",I-Eukaryotes/Unknown.191
1281,1,ONM23707.1,I-Eukaryotes,,I-Eukaryotes.99
1282,6,WP_152765502.1,I-CD,,I-CD.28
1283,1,QOH25814.1,I-Eukaryotes,,I-Eukaryotes.36
1284,5,WP_010228021.1,I-E,,I-E.18
1285,1,WP_023171956.1,I-B,,I-B.14
1286,4,1RBL_A,I-B,,I-B.4
1287,1,HDR53286.1,Unknown,,Unknown.560
1288,1,WP_054966967.1,Unknown,,Unknown.949
1289,7,HCV21700.1,Unknown,,Unknown.909
1290,8,VDD88793.1,III/Unknown,"Unknown: 5, III: 3",III/Unknown.22
1291,95,ABU68141.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 62, Unknown: 33",I-Eukaryotes/Unknown.128
1292,5,NCN88501.1,Unknown,,Unknown.833
1293,2,170907,I-Banda,,I-Banda.21
1294,7,RIFOXYC1_FULL_WS6_GWC1_33_9_rifoxyc1_full_scaffold_1554_8,III/Unknown,"Unknown: 6, III: 1",III/Unknown.4
1295,4,MBD3228851.1,IV-Ykr-2,,IV-Ykr-2.136
1296,1,TFF96873.1,IV-Ykr-2,,IV-Ykr-2.110
1297,1,AAF97658.1,I-Eukaryotes,,I-Eukaryotes.54
1298,1,WP_164654000.1,IV-Photo,,IV-Photo.72
1299,29,ACR07816.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 27, Unknown: 2",I-Eukaryotes/Unknown.157
1300,1,VDD89076.1,III,,III.102
1301,2,WP_052010453.1,IV-Ykr-2,,IV-Ykr-2.163
1302,2,VDD88787.1,III,,III.36
1303,2,WP_072525474.1,IV-Ykr-2,,IV-Ykr-2.164
1304,5,NTU96639.1,IV-Photo,,IV-Photo.11
1305,1,RLE66934.1,Unknown,,Unknown.77
1306,21,AAL71899.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 19, Unknown: 2",I-Eukaryotes/Unknown.1
1307,1,VDD88917.1,III,,III.22
1308,1,KUK70477.1,Unknown,,Unknown.131
1309,1,HGH79879.1,Unknown,,Unknown.225
1310,1,WP_112482113.1,IV-Ykr-2,,IV-Ykr-2.202
1311,3,MBU70118.1,IV-Non-photo,,IV-Non-photo.88
1312,1,TXT25156.1,Unknown,,Unknown.980
1313,1,WP_184520520.1,IV-Non-photo,,IV-Non-photo.420
1314,3,TARA_056.SAMEA2620666.1000.0.22-3_1060_2,IV-NG2,,IV-NG2.67
1315,3,WP_115791983.1,Unknown,,Unknown.277
1316,1,WP_096173243.1,IV-Non-photo,,IV-Non-photo.185
1317,4,TARA_039.SAMEA2620106.270.0.1-0.22_47_57,IV-GOS_Global,,IV-GOS_Global.46
1318,2,WP_091844669.1,IV-Non-photo,,IV-Non-photo.666
1319,4,WP_006666558.1,Unknown,,Unknown.179
1320,1,NQV98135.1,IV-Non-photo,,IV-Non-photo.152
1321,8,WP004216495_Natrialba_magadii_ATCC_43099,Unknown,,Unknown.1027
1322,2,WP_026904708.1,IV-Non-photo,,IV-Non-photo.521
1323,1,NOZ82616.1,Unknown,,Unknown.580
1324,1,VDD88727.1,III,,III.70
1325,1,MBD3263370.1,Unknown,,Unknown.104
1326,1,VDD88765.1,Unknown,,Unknown.404
1327,1,WP_012369336.1,IV-Ykr,,IV-Ykr.13
1328,1,TARA_007.SAMEA2591074.42.0.22-1.6_417480_1,IV-GOS_Global,,IV-GOS_Global.104
1329,1,WP_146953894.1,IV-DeepYkr,,IV-DeepYkr.295
1330,1,PYO84267.1,IV-DeepYkr,,IV-DeepYkr.265
1331,1,WP_135451185.1,IV-DeepYkr,,IV-DeepYkr.372
1332,1,TVR19207.1,IV-DeepYkr,,IV-DeepYkr.137
1333,2,ANX05372.1,IV-DeepYkr,,IV-DeepYkr.345
1334,1,WP_119361142.1,IV-DeepYkr,,IV-DeepYkr.188
1335,2,WP_006667870.1,IV-Ykr,,IV-Ykr.26
1336,2,CAA6604222.1,IV-DeepYkr,,IV-DeepYkr.227
1337,4,KPF53331.1,I-CD,,I-CD.115
1338,5,WP_129627234.1,I-G,,I-G.2
1339,6,OJY53261.1,I-E,,I-E.37
1340,5,QJX14036.1,Unknown,,Unknown.615
1341,7,WP_101538119.1,I-A,,I-A.77
1342,1,MBE7528243.1,I-Banda,,I-Banda.5
1343,2,KXS32221.1,Unknown,,Unknown.936
1344,7,WP_028486931.1,II/Unknown,"Unknown: 6, II: 1",II/Unknown.8
1345,2,WP_134133152.1,IV-NG2,,IV-NG2.6
1346,110,QKX45444.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 83, Unknown: 27",I-Eukaryotes/Unknown.143
1347,9,WP_088885583.1,Unknown,,Unknown.405
1348,1,PHT97483.1,I-Eukaryotes,,I-Eukaryotes.104
1349,2,TFG27408.1,IV-Ykr-2,,IV-Ykr-2.141
1350,9,ABY74012.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 8, Unknown: 1",I-Eukaryotes/Unknown.130
1351,4,NTV05553.1,IV-Photo,,IV-Photo.42
1352,2,RIFCSPLOWO2_02_FULL_Deltaproteobacteria_46_8_rifcsplowo2_02_scaffold_32024_19,IV-Photo,,IV-Photo.3
1353,1,RZL57558.1,IV-Non-photo,,IV-Non-photo.571
1354,1,PKL69180.1,Unknown,,Unknown.107
1355,324,AXS63309.1,Ambiguous,"I-Eukaryotes: 304, Unknown: 18, I-CD: 2",Ambiguous.21
1356,1,WP_138327386.1,IV-Non-photo,,IV-Non-photo.349
1357,2,GHC75597.1,IV-Non-photo,,IV-Non-photo.770
1358,1,HHS41988.1,IV-Non-photo,,IV-Non-photo.50
1359,1,WP_029010986.1,IV-Non-photo,,IV-Non-photo.660
1360,2,NVM44200.1,Unknown,,Unknown.176
1361,1,WP_028709069.1,IV-Ykr-2,,IV-Ykr-2.191
1362,1,HGF50225.1,Unknown,,Unknown.357
1363,2,WP_066480112.1,IV-Non-photo,,IV-Non-photo.530
1364,1,WP_104520621.1,IV-Non-photo,,IV-Non-photo.96
1365,2,WP_140941430.1,IV-Non-photo,,IV-Non-photo.203
1366,1,VVB83719.1,Unknown,,Unknown.163
1367,1,NBR33864.1,IV-Non-photo,,IV-Non-photo.658
1368,1,WP_091548945.1,IV-Non-photo,,IV-Non-photo.662
1369,1,WP_153734910.1,IV-NG1,,IV-NG1.32
1370,1,WP_123214242.1,IV-Non-photo,,IV-Non-photo.210
1371,1,WP_187342327.1,IV-Non-photo,,IV-Non-photo.395
1372,1,HGG69015.1,Unknown,,Unknown.234
1373,1,KYH36691.1,Unknown,,Unknown.294
1374,1,RLI03651.1,Unknown,,Unknown.226
1375,2,WP_084568681.1,IV-DeepYkr,,IV-DeepYkr.22
1376,65,QGX89930.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 58, Unknown: 7",I-Eukaryotes/Unknown.186
1377,2,VDD88947.1,III,,III.83
1378,1,PHU11611.1,I-Eukaryotes,,I-Eukaryotes.112
1379,6,TARA_123.SAMEA2622710.5.0.22-3_1400116_8,IV-GOS_Global,,IV-GOS_Global.120
